observation_date,CUURA101SAH1
2017-01-01,365.684
2017-02-01,365.599
2017-03-01,366.030
2017-04-01,366.709
2017-05-01,367.192
2017-06-01,367.964
2017-07-01,368.840
2017-08-01,370.744
2017-09-01,370.662
2017-10-01,371.091
2017-11-01,371.403
2017-12-01,372.257
2018-01-01,373.008
2018-02-01,373.327
2018-03-01,374.763
2018-04-01,375.314
2018-05-01,375.974
2018-06-01,375.650
2018-07-01,376.707
2018-08-01,377.549
2018-09-01,378.195
2018-10-01,378.368
2018-11-01,378.954
2018-12-01,379.546
2019-01-01,380.188
2019-02-01,381.584
2019-03-01,382.414
2019-04-01,384.220
2019-05-01,384.085
2019-06-01,384.598
2019-07-01,385.269
2019-08-01,385.875
2019-09-01,387.167
2019-10-01,386.148
2019-11-01,387.012
2019-12-01,387.979
2020-01-01,389.790
2020-02-01,390.984
2020-03-01,392.352
2020-04-01,391.605
2020-05-01,391.742
2020-06-01,391.894
2020-07-01,392.217
2020-08-01,392.469
2020-09-01,393.526
2020-10-01,392.135
2020-11-01,393.007
2020-12-01,392.874
2021-01-01,392.787
2021-02-01,393.648
2021-03-01,394.286
2021-04-01,395.644
2021-05-01,396.656
2021-06-01,398.824
2021-07-01,399.091
2021-08-01,397.863
2021-09-01,398.191
2021-10-01,397.565
2021-11-01,398.601
2021-12-01,397.582
2022-01-01,398.680
2022-02-01,401.151
2022-03-01,402.690
2022-04-01,404.237
2022-05-01,405.410
2022-06-01,407.236
2022-07-01,408.155
2022-08-01,409.148
2022-09-01,411.946
2022-10-01,413.770
2022-11-01,416.435
2022-12-01,419.480
2023-01-01,421.894
2023-02-01,423.779
2023-03-01,426.174
2023-04-01,427.234
2023-05-01,428.969
2023-06-01,430.019
2023-07-01,431.935
2023-08-01,434.382
2023-09-01,436.675
2023-10-01,437.792
2023-11-01,439.950
2023-12-01,441.713
2024-01-01,444.186
2024-02-01,445.467
2024-03-01,447.121
2024-04-01,448.643
2024-05-01,453.975
2024-06-01,455.639
2024-07-01,457.675
2024-08-01,460.573
2024-09-01,462.680
2024-10-01,464.023
2024-11-01,465.192
2024-12-01,466.673
